Date,MYR/USD,SGD/USD,RUB/USD,TRY/USD
2015-08-03,3.852299928665161,1.3727999925613403,61.630699157714844,2.7670700550079346
2015-08-04,3.868499994277954,1.3774000406265259,63.5,2.777329921722412
2015-08-05,3.875,1.3816299438476562,63.11000061035156,2.779400110244751
2015-08-06,3.9040000438690186,1.383739948272705,63.382999420166016,2.7850399017333984
2015-08-07,3.9205000400543213,1.3835699558258057,64.4800033569336,2.775279998779297
2015-08-10,3.9130001068115234,1.3844799995422363,64.4800033569336,2.779670000076294
2015-08-11,3.9790000915527344,1.3822200298309326,62.88999938964844,2.766900062561035
2015-08-12,3.9739999771118164,1.4020500183105469,64.12200164794922,2.7785799503326416
2015-08-13,4.025000095367432,1.3990000486373901,64.12120056152344,2.7753500938415527
2015-08-14,4.053999900817871,1.3968600034713745,64.52200317382812,2.8230600357055664
2015-08-17,4.090000152587891,1.4068599939346313,64.90670013427734,2.8320000171661377
2015-08-18,4.083000183105469,1.407099962234497,65.38819885253906,2.8687500953674316
2015-08-19,4.091000080108643,1.404039978981018,65.78500366210938,2.891319990158081
2015-08-20,4.097499847412109,1.4019800424575806,66.53569793701172,2.9261999130249023
2015-08-21,4.1504998207092285,1.4030799865722656,68.12999725341797,2.916640043258667
2015-08-24,4.2210001945495605,1.4136600494384766,69.10749816894531,2.954200029373169
2015-08-25,4.2164998054504395,1.4101300239562988,70.75150299072266,2.946959972381592
2015-08-26,4.190400123596191,1.4038000106811523,69.30919647216797,2.940500020980835
2015-08-27,4.168000221252441,1.4047900438308716,68.90499877929688,2.927449941635132
2015-08-28,4.1570000648498535,1.3996200561523438,66.06900024414062,2.90939998626709
2015-08-31,4.165999889373779,1.4090399742126465,65.29499816894531,2.9180500507354736
2015-09-01,4.184999942779541,1.4098700284957886,64.28070068359375,2.915950059890747
2015-09-02,4.204999923706055,1.4132800102233887,66.48269653320312,2.9318900108337402
2015-09-03,4.2245001792907715,1.415220022201538,66.77169799804688,2.941740036010742
2015-09-04,4.2870001792907715,1.4159400463104248,67.14070129394531,2.9702999591827393
2015-09-07,4.335999965667725,1.423509955406189,68.39250183105469,3.0353500843048096
2015-09-08,4.291500091552734,1.4267799854278564,69.14900207519531,3.0300400257110596
2015-09-09,4.332499980926514,1.4168000221252441,67.86119842529297,3.0090999603271484
2015-09-10,4.293000221252441,1.4204200506210327,68.40650177001953,3.0465500354766846
2015-09-11,4.2870001792907715,1.4128999710083008,67.68450164794922,3.017280101776123
2015-09-14,4.309500217437744,1.411870002746582,67.76319885253906,3.035799980163574
2015-09-15,4.261499881744385,1.4054399728775024,67.54000091552734,3.055999994277954
2015-09-16,4.21150016784668,1.4024100303649902,66.78250122070312,3.0297000408172607
2015-09-17,4.2170000076293945,1.396720051765442,65.25769805908203,2.9977099895477295
2015-09-18,4.209000110626221,1.3964699506759644,65.39749908447266,3.0071499347686768
2015-09-21,4.258500099182129,1.400320053100586,66.44000244140625,3.004349946975708
2015-09-22,4.309999942779541,1.4098800420761108,66.04100036621094,3.003499984741211
2015-09-23,4.380000114440918,1.4175000190734863,65.81999969482422,3.026819944381714
2015-09-24,4.392000198364258,1.4259300231933594,66.0199966430664,3.0371100902557373
2015-09-25,4.3927998542785645,1.4245400428771973,66.08000183105469,3.047290086746216
2015-09-28,4.412300109863281,1.425570011138916,65.44499969482422,3.0427401065826416
2015-09-29,4.455999851226807,1.4308600425720215,66.05919647216797,3.0529000759124756
2015-09-30,4.385499954223633,1.4274799823760986,65.70999908447266,3.038140058517456
2015-10-01,4.417500019073486,1.4235299825668335,65.38749694824219,3.023319959640503
2015-10-02,4.382500171661377,1.4305000305175781,65.62570190429688,3.0246100425720215
2015-10-05,4.338500022888184,1.4320600032806396,65.99199676513672,2.996299982070923
2015-10-06,4.298999786376953,1.4204200506210327,64.77220153808594,2.981920003890991
2015-10-07,4.215000152587891,1.420799970626831,63.39149856567383,2.9560000896453857
2015-10-08,4.113500118255615,1.411620020866394,62.25,2.937999963760376
2015-10-09,4.127500057220459,1.403499960899353,61.307498931884766,2.8928699493408203
2015-10-12,4.139500141143799,1.3984800577163696,61.662498474121094,2.933039903640747
2015-10-13,4.201499938964844,1.4009000062942505,62.219200134277344,2.9286000728607178
2015-10-14,4.138000011444092,1.4009499549865723,63.002498626708984,2.960930109024048
2015-10-15,4.102499961853027,1.378309965133667,62.58250045776367,2.9116899967193604
2015-10-16,4.171000003814697,1.3801000118255615,61.358001708984375,2.8785998821258545
2015-10-19,4.2829999923706055,1.3832800388336182,61.1875,2.894010066986084
2015-10-20,4.2769999504089355,1.3891600370407104,62.380001068115234,2.905100107192993
2015-10-21,4.297500133514404,1.3909499645233154,62.04520034790039,2.899970054626465
2015-10-22,4.2204999923706055,1.392989993095398,62.95000076293945,2.895210027694702
2015-10-23,4.248499870300293,1.3942999839782715,62.50749969482422,2.871880054473877
2015-10-26,4.238500118255615,1.396399974822998,62.32170104980469,2.9100100994110107
2015-10-27,4.28000020980835,1.391860008239746,62.95000076293945,2.888129949569702
2015-10-28,4.268499851226807,1.3961800336837769,65.41999816894531,2.9041500091552734
2015-10-29,4.2204999923706055,1.402109980583191,63.935001373291016,2.9197499752044678
2015-10-30,4.2210001945495605,1.402750015258789,64.19000244140625,2.9347000122070312
2015-11-02,4.290999889373779,1.400089979171753,64.12000274658203,2.8469998836517334
2015-11-03,4.232999801635742,1.398229956626892,63.60499954223633,2.8238298892974854
2015-11-04,4.298999786376953,1.3960399627685547,62.630001068115234,2.8281400203704834
